Intersection ID,Overlap Proportion
Intersection of Polygon 0 with 31 x 44,1.0,
Intersection of Polygon 0 with 31 x 45,1.0,
Intersection of Polygon 0 with 31 x 46,1.0,
Intersection of Polygon 0 with 31 x 47,1.0,
Intersection of Polygon 0 with 31 x 48,1.0,
Intersection of Polygon 0 with 31 x 49,1.0,
Intersection of Polygon 0 with 32 x 29,0.7010672211968175,
Intersection of Polygon 0 with 32 x 30,1.0,
Intersection of Polygon 0 with 32 x 31,1.0,
Intersection of Polygon 0 with 32 x 32,1.0,
Intersection of Polygon 0 with 32 x 33,1.0,
Intersection of Polygon 0 with 32 x 34,1.0,
Intersection of Polygon 0 with 32 x 35,1.0,
Intersection of Polygon 0 with 32 x 36,1.0,
Intersection of Polygon 0 with 32 x 37,1.0,
Intersection of Polygon 0 with 32 x 38,1.0,
Intersection of Polygon 0 with 32 x 39,1.0,
Intersection of Polygon 0 with 32 x 40,1.0,
Intersection of Polygon 0 with 32 x 41,1.0,
Intersection of Polygon 0 with 32 x 42,1.0,
Intersection of Polygon 0 with 32 x 43,1.0,
Intersection of Polygon 0 with 32 x 44,1.0,
Intersection of Polygon 0 with 32 x 45,1.0,
Intersection of Polygon 0 with 32 x 46,1.0,
Intersection of Polygon 0 with 32 x 47,1.0,
Intersection of Polygon 0 with 32 x 48,1.0,
Intersection of Polygon 0 with 32 x 49,1.0,
Intersection of Polygon 0 with 33 x 29,0.8179364861640211,
Intersection of Polygon 0 with 33 x 30,1.0,
Intersection of Polygon 0 with 33 x 31,1.0,
Intersection of Polygon 0 with 33 x 32,1.0,
Intersection of Polygon 0 with 33 x 33,1.0,
Intersection of Polygon 0 with 33 x 34,1.0,
Intersection of Polygon 0 with 33 x 35,1.0,
Intersection of Polygon 0 with 33 x 36,1.0,
Intersection of Polygon 0 with 33 x 37,1.0,
Intersection of Polygon 0 with 33 x 38,1.0,
Intersection of Polygon 0 with 33 x 39,1.0,
Intersection of Polygon 0 with 33 x 40,1.0,
Intersection of Polygon 0 with 33 x 41,1.0,
Intersection of Polygon 0 with 33 x 42,1.0,
Intersection of Polygon 0 with 33 x 43,1.0,
Intersection of Polygon 0 with 33 x 44,1.0,
Intersection of Polygon 0 with 33 x 45,1.0,
Intersection of Polygon 0 with 33 x 46,1.0,
Intersection of Polygon 0 with 33 x 47,1.0,
Intersection of Polygon 0 with 33 x 48,1.0,
Intersection of Polygon 0 with 33 x 49,1.0,
Intersection of Polygon 0 with 34 x 29,0.8204365079365079,
Intersection of Polygon 0 with 34 x 30,1.0,
Intersection of Polygon 0 with 34 x 31,1.0,
Intersection of Polygon 0 with 34 x 32,1.0,
Intersection of Polygon 0 with 34 x 33,1.0,
Intersection of Polygon 0 with 34 x 34,1.0,
Intersection of Polygon 0 with 34 x 35,1.0,
Intersection of Polygon 0 with 34 x 36,1.0,
